property_type,sector,price,bedRoom,bathroom,agePossession,built_up_area,servant room,furnishing_type,luxury_category
1,sector 109,11.25,7.0,5.0,new,4500.0,1.0,0.0,0
1,sector 49,4.45,6.0,6.0,old,2880.0,1.0,2.0,2
0,sector 89,0.9,3.0,3.0,under construction,1910.0,0.0,0.0,1
1,sector 12,1.4,2.0,2.0,old,166.0,0.0,0.0,0
0,sector 92,1.55,3.0,4.0,new,1805.0,1.0,1.0,1
0,sector 107,0.28,2.0,2.0,new,543.0,0.0,0.0,0
1,sector 23,4.0,3.0,3.0,old,2430.0,1.0,1.0,1
0,sector 113,2.35,3.0,3.0,new,2210.0,1.0,0.0,2
0,sector 56,1.55,3.0,3.0,old,1810.0,1.0,1.0,1
0,sector 111,1.65,3.0,4.0,under construction,2104.0,1.0,0.0,0
0,sector 67,0.8,1.0,1.0,new,610.0,0.0,0.0,0
0,sector 79,1.47,2.0,2.0,new,93.0,0.0,0.0,1
0,sector 95,0.38,2.0,2.0,new,610.0,0.0,0.0,0
0,sector 81,1.35,3.0,3.0,old,1989.0,0.0,0.0,1
0,sector 102,0.45,2.0,2.0,new,568.0,0.0,2.0,1
0,sector 48,11.25,4.0,5.0,new,4422.0,1.0,0.0,0
0,sector 56,1.38,3.0,3.0,old,1910.0,0.0,1.0,1
0,sector 86,0.43,2.0,2.0,new,557.0,0.0,0.0,1
0,sector 86,0.6,3.0,2.0,new,833.0,0.0,0.0,0
0,sector 72,5.0,4.0,4.0,new,4000.0,1.0,1.0,2
0,sector 77,0.8,2.0,2.0,new,1163.0,0.0,1.0,0
0,sector 102,2.5,4.0,5.0,new,2600.0,1.0,1.0,2
0,sector 103,1.15,2.0,2.0,new,1250.0,0.0,1.0,1
0,sector 63,2.2,3.0,4.0,old,1554.0,0.0,1.0,1
0,sector 62,3.95,3.0,3.0,new,2876.0,1.0,1.0,0
0,sector 70,1.63,3.0,5.0,new,1527.0,1.0,0.0,0
0,sector 108,0.98,2.0,3.0,new,978.23,0.0,0.0,1
0,sector 4,1.05,3.0,2.0,new,1500.0,0.0,1.0,0
0,sector 37c,0.95,2.0,2.0,under construction,1578.0,1.0,0.0,1
0,sector 92,0.75,3.0,4.0,old,1778.0,0.0,0.0,1
0,sector 90,0.5,2.0,2.0,under construction,796.0,0.0,0.0,0
1,sector 48,7.8,4.0,4.0,new,3240.0,1.0,1.0,1
0,sector 25,3.7,4.0,4.0,old,2333.0,1.0,1.0,0
0,sector 69,1.44,3.0,3.0,new,1381.0,0.0,0.0,2
1,sector 14,4.6,1.0,1.0,old,2250.0,0.0,0.0,0
